Filename,Particip_ID,Pgph,DefaultLang,CS_cond,Region,nsyll,duration,speechrate,List,Dom_lang,Eng_sprint,Span_sprint,Dom_Sprint,Nondom_Sprint,BLI_Score,Eng_AOA
b1_edp1_longestoverlap_ISI_0_test,b1,p1,Eng,mixed,0,2,0.92,2.17,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_1_test,b1,p1,Eng,mixed,1,5,1.32,3.79,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_2_test,b1,p1,Eng,mixed,2,8,2.1,3.81,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_3_test,b1,p1,Eng,mixed,3,12,2.64,4.54,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_4_test,b1,p1,Eng,mixed,4,4,1.04,3.85,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_5_test,b1,p1,Eng,mixed,5,5,1.9,2.63,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_6_test,b1,p1,Eng,mixed,6,6,1.8,3.33,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_7_test,b1,p1,Eng,mixed,7,4,1.1,3.64,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_8_test,b1,p1,Eng,mixed,8,3,0.84,3.57,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_9_test,b1,p1,Eng,mixed,9,6,1.5,4,2,Eng,60,41,60,41,0.683333333,6
b1_edp1_longestoverlap_ISI_10_test,b1,p1,Eng,mixed,10,3,1.48,2.03,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_0_test,b1,p1,Eng,single,0,2,0.94,2.13,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_1_test,b1,p1,Eng,single,1,5,1.34,3.73,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_2_test,b1,p1,Eng,single,2,8,1.98,4.04,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_3_test,b1,p1,Eng,single,3,13,2.7,4.81,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_4_test,b1,p1,Eng,single,4,3,1.02,2.94,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_5_test,b1,p1,Eng,single,5,6,2.04,2.94,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_6_test,b1,p1,Eng,single,6,6,1.68,3.57,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_7_test,b1,p1,Eng,single,7,4,1.08,3.7,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_8_test,b1,p1,Eng,single,8,2,0.9,2.22,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_9_test,b1,p1,Eng,single,9,7,1.44,4.86,2,Eng,60,41,60,41,0.683333333,6
b1_eop1_longestoverlap_ISI_10_test,b1,p1,Eng,single,10,2,1.38,1.45,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_0_test,b1,p2,Eng,mixed,0,10,2.6,3.85,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_1_test,b1,p2,Eng,mixed,1,10,2.66,3.76,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_3_test,b1,p2,Eng,mixed,3,2,0.72,2.78,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_4_test,b1,p2,Eng,mixed,4,6,1.7,3.53,2,Eng,60,41,60,41,0.683333333,6
b1_edp2_longestoverlap_ISI_5_test,b1,p2,Eng,mixed,5,15,3.02,4.97,2,Eng,60,41,60,41,0.683333333,6
